nschools,time
57,1.647121076
76,3.74039421
49,1.029891464
17,0.024535757
3,8.4932e-5
59,1.734855674
32,0.14961256
75,5.376244074
31,0.163989233
27,0.164311917
5,0.000376866
19,0.042892972
31,0.203070064
88,7.561512212
98,14.848919685
32,0.23309597
29,0.155010283
37,0.379360527
90,9.889435868
86,8.592353458
29,0.121998708
17,0.029147382
98,14.621415753
13,0.00873546
90,8.852014969
69,3.815881242
49,1.238128693
88,7.168845367
34,0.29420519
63,1.981348904
63,2.723993668
2,3.8303e-5
47,0.822208558
40,0.482056436
81,6.318474327
78,5.93052911
59,1.758302406
12,0.012559082
43,0.560693797
67,3.302090363
41,0.492773989
20,0.03346734
19,0.032120749
77,5.661163289
28,0.137699732
58,1.769594124
24,0.088545369
20,0.048115837
44,0.739145653
10,0.004429515
16,0.011358922
79,4.929465625
78,5.240176322
17,0.022601167
64,2.395774316
79,4.731337213
82,6.422878298
6,0.000501242
17,0.029401416
83,8.323070389
45,0.515315559
86,8.209645966
97,14.568139541
93,11.859140554
77,4.171095093
60,2.372330383
14,0.012230982
30,0.140645953
69,3.883661504
21,0.051109328
72,3.899344488
73,3.942185444
89,7.469033233
45,1.010586797
46,1.096375714
94,12.593566296
7,0.001088188
27,0.147751949
75,4.205086645
38,0.348697111
39,0.47950591
33,0.189887766
37,0.454033779
7,0.001255198
31,0.239752353
63,2.353425448
47,0.8906519
66,3.101006243
42,0.550570769
92,9.231875444
16,0.025548646
77,5.800308687
76,3.987765434
85,7.720642009
24,0.087857014
48,0.843770644
97,11.247702501
73,3.700197287
51,0.931419207
68,3.280789023
4,0.000247926
76,4.390572167
65,2.156404572
87,7.295571544
33,0.248177957
9,0.002695834
28,0.177645296
36,0.308485287
87,8.563007689
87,6.137680626
48,0.939881331
61,1.671030612
3,0.000131329
22,0.057970218
95,12.091180161
94,12.150044751
30,0.18181936
47,0.902643983
40,0.509307409
36,0.343079121
79,6.175201754
34,0.269204495
53,1.101340159
68,2.886470874
66,2.733380495
79,5.597939961
4,0.000295023
97,13.757612916
71,4.405912777
57,1.882120539
12,0.008115246
73,3.455206255
93,9.16766284
46,0.743220967
62,2.184252687
34,0.22530641
83,6.468988646
36,0.388867053
10,0.003408176
83,6.948528855
69,3.385792339
48,0.965923067
29,0.129813958
98,14.208258316
82,7.282490918
72,3.28021305
75,4.994846265
54,1.553014758
25,0.113637503
59,1.553401595
75,4.292295878
70,3.384596175
25,0.074621337
20,0.042716427
28,0.143097491
72,3.465250659
51,0.944093162
50,0.914426161
72,3.819108033
24,0.089086184
23,0.063581903
63,2.093007982
88,9.968622416
97,13.217663043
66,2.032875855
26,0.077773831
38,0.42824437
6,0.000479223
51,1.330411103
15,0.019279754
73,4.201679994
46,0.65762319
10,0.003607954
65,2.084260437
46,0.634871228
40,0.445111463
92,7.485238117
33,0.22887882
46,0.877875668
93,10.158236381
14,0.012723986
31,0.164536987
59,2.137260213
10,0.003173015
96,13.591700797
78,5.090764952
31,0.231492547
71,4.033693316
96,13.746211319
57,1.990557814
37,0.387583427
42,0.531138298
45,0.758284349
28,0.125541878
62,2.64078916
95,11.792256799
73,3.937984465
30,0.170251754
71,3.505240173
75,5.419157303
88,9.827223962
82,6.439808754
33,0.185137731
26,0.099920573
33,0.229856466
79,4.941806193
36,0.352616475
17,0.025403625
96,12.582215375
22,0.056180027
83,7.801831912
73,4.713891683
38,0.441628411
52,0.96220851
9,0.003408987
19,0.019391522
68,2.927949019
9,0.001277791
68,3.411488183
6,0.000840895
95,12.001450718
60,1.692660232
70,2.904126759
61,2.626235394
48,0.948032003
44,0.608271725
11,0.009917702
56,1.382078543
98,11.144132435
87,7.064370401
33,0.24624384
22,0.053424139
19,0.046332804
90,8.493519632
29,0.129780742
79,5.93781469
71,4.166677864
16,0.020824969
80,5.012430909
5,0.000580978
46,0.863922618
63,3.042261841
72,3.299456912
47,0.625488364
25,0.099607098
98,11.456833545
4,0.000341302
83,8.305611186
26,0.119219753
37,0.376511798
59,1.758488516
33,0.262340024
65,2.447824352
17,0.020638002
58,1.361459215
8,0.00153138
39,0.452552429
60,2.464451321
68,3.149938777
65,2.96741673
91,9.298362427
33,0.24563559
79,5.571861026
48,1.111489168
68,3.312133827
42,0.680367024
67,3.722198684
85,8.456782307
95,9.747350247
7,0.002317537
13,0.014218707
76,5.017650219
40,0.399620163
94,10.057268373
96,9.81618243
13,0.011321212
3,0.000137175
29,0.181918074
20,0.029274595
98,14.573029879
66,2.807367472
44,0.612789889
89,7.653536019
7,0.00156436
68,3.69975177
22,0.043600241
85,6.936915597
30,0.180423797
58,2.062734987
80,5.660789415
39,0.424510795
12,0.006557882
71,4.007426573
76,5.167325608
89,10.575960045
52,1.32578659
2,0.000150224
70,4.083796391
38,0.430957058
79,6.324282826
61,1.782925764
47,0.671410652
39,0.463570593
65,3.272295656
48,0.962581161
21,0.042180167
15,0.011902072
30,0.201885522
55,1.778581583
14,0.014936947
31,0.187268932
54,1.472491209
57,1.302489018
80,5.392394144
58,1.67688167
80,4.203902014
8,0.001433379
24,0.079292464
93,11.886197303
68,2.811124119
26,0.101696206
90,7.678430997
73,4.752455077
49,1.029637339
52,1.323146752
5,0.000487696
84,6.766556024
77,6.287290779
6,0.000917604
10,0.002618117
15,0.013941113
34,0.257835454
66,3.507289494
97,10.608867054
53,1.234318967
87,6.506669763
20,0.038019603
3,0.000249896
37,0.318047399
58,2.117840287
83,7.693615916
69,3.689093641
86,6.601939461
20,0.030811478
82,7.332625819
22,0.05163513
56,1.274922689
74,5.157154845
58,1.322405815
74,6.140986225
19,0.029038111
16,0.031508233
87,8.196728168
95,11.588693798
25,0.09329991
91,8.151300385
76,5.463271875
38,0.303036968
89,10.650049068
23,0.059667722
23,0.081985646
2,4.5814e-5
56,1.790858885
43,0.661360795
37,0.374205936
81,6.186737338
69,3.509538125
63,2.365084132
61,1.843968657
14,0.009341703
37,0.383536711
8,0.002120465
79,5.271524766
13,0.013030099
70,3.700416265
34,0.28330649
70,3.324780575
21,0.04011994
19,0.02890597
70,4.071065681
55,1.524196009
6,0.001153332
37,0.326948396
37,0.42225088
19,0.034181455
23,0.097904144
47,0.857791424
38,0.347594846
43,0.637780098
6,0.000835299
8,0.002502231
54,1.445319445
66,2.423148058
48,0.890001106
6,0.000917156
6,0.000806999
48,0.733402988
36,0.404856366
7,0.001417547
87,9.541857239
68,3.0956489
85,7.041119482
83,6.394838233
14,0.013632763
46,0.608746322
79,4.292361551
41,0.424034039
58,1.784309511
97,18.596667535
10,0.008418514
36,0.503370541
69,4.219899631
77,4.335977787
62,2.702397894
58,1.955966651
47,0.864811923
90,6.719620314
25,0.099967509
71,4.055437769
51,1.260441044
61,2.17454172
50,1.273013912
11,0.007974838
42,0.635139842
93,12.138676168
52,1.196145981
92,10.961008473
90,8.840089213
3,8.1297e-5
76,4.462590826
69,2.544708574
23,0.075818277
79,5.024231164
55,1.660747934
90,8.972183994
6,0.000663486
8,0.001464305
15,0.018941477
52,1.260331697
90,7.445237566
49,1.031522117
94,9.818065515
80,4.969313259
20,0.038799416
19,0.028518903
97,11.114881305
66,3.260009153
35,0.344172173
66,3.04629034
2,3.7621e-5
53,1.518259668
20,0.032196085
55,1.236986993
44,0.56444681
78,5.940714677
56,1.69547994
15,0.013387953
69,3.588864875
71,4.307357014
58,1.906697905
83,6.758490228
27,0.162792267
38,0.332444833
97,11.916492629
73,3.658613005
6,0.000777329
56,1.372346378
70,3.107700235
80,4.754521924
82,6.055955293
84,6.497414969
93,9.474286902
82,6.219533371
17,0.018027326
53,1.070136708
4,0.00013816
90,8.228751939
71,3.860340149
84,6.499286813
12,0.008963584
17,0.022323662
83,6.690701123
57,1.124047827
63,2.459430296
56,1.872132353
36,0.380384389
66,3.127369928
61,1.911874356
28,0.128350966
63,2.518884654
57,1.720583254
14,0.01749516
47,0.877135282
49,1.257822916
14,0.012410107
59,2.132321541
36,0.323628947
94,9.854460004
31,0.154398717
57,1.709647592
41,0.637175123
52,1.147088404
71,3.77676151
74,4.840256012
50,1.542174294
85,7.507009931
80,6.105360372
92,8.493975466
70,3.328491086
20,0.038650708
66,3.301006842
90,8.400580611
79,6.852666824
52,0.960333922
93,10.497460844
74,4.209403362
72,3.297901123
95,11.32665303
90,7.454541584
47,1.110344609
34,0.266610303
37,0.316194385
17,0.034007105
35,0.328881754
12,0.003916214
62,1.939187407
18,0.025170449
74,4.430173083
6,0.0007138
45,0.847845867
94,12.20841869
66,3.241964879
25,0.153864101
56,1.78614133
78,6.115555101
73,4.798142779
64,2.462352231
5,0.000330719
73,3.923119713
62,2.917992096
45,0.695208099
59,2.262791441
62,2.01816447
70,3.242334725
14,0.018498014
36,0.336277672
54,1.803575796
39,0.414301875
76,4.555452512
67,3.401314406
20,0.049623922
